width,height,area,success,coverage,stepsUsed,ratio
1,308,308,true,308,621,2.0162337662337664
308,1,308,true,308,601,1.9512987012987013
1,309,309,true,309,622,2.01294498381877
309,1,309,true,309,602,1.948220064724919
1,310,310,true,310,623,2.009677419354839
310,1,310,true,310,603,1.9451612903225806
1,311,311,true,311,624,2.0064308681672025
311,1,311,true,311,604,1.9421221864951768
1,312,312,true,312,625,2.003205128205128
312,1,312,true,312,605,1.939102564102564
1,313,313,true,313,626,2.0
313,1,313,true,313,606,1.9361022364217253
1,314,314,true,314,627,1.9968152866242037
314,1,314,true,314,607,1.9331210191082802
1,315,315,true,315,628,1.9936507936507937
315,1,315,true,315,609,1.9333333333333333
1,316,316,true,316,652,2.0632911392405062
316,1,316,true,316,629,1.990506329113924
1,317,317,true,317,654,2.0630914826498423
317,1,317,true,317,630,1.9873817034700316
1,318,318,true,318,655,2.059748427672956
318,1,318,true,318,631,1.9842767295597483
1,319,319,true,319,656,2.0564263322884013
319,1,319,true,319,632,1.9811912225705328
1,320,320,true,320,657,2.053125
320,1,320,true,320,633,1.978125
1,321,321,true,321,658,2.0498442367601246
321,1,321,true,321,634,1.9750778816199377
1,322,322,true,322,659,2.046583850931677
322,1,322,true,322,635,1.9720496894409938
1,323,323,true,323,660,2.043343653250774
323,1,323,true,323,636,1.9690402476780187
1,324,324,true,324,661,2.0401234567901234
324,1,324,true,324,637,1.9660493827160495
1,325,325,true,325,662,2.036923076923077
325,1,325,true,325,638,1.9630769230769232
1,326,326,true,326,663,2.0337423312883436
326,1,326,true,326,639,1.960122699386503
1,327,327,true,327,664,2.0305810397553516
327,1,327,true,327,640,1.9571865443425076
1,328,328,true,328,665,2.027439024390244
328,1,328,true,328,641,1.954268292682927
1,329,329,true,329,666,2.024316109422492
329,1,329,true,329,642,1.9513677811550152
1,330,330,true,330,667,2.021212121212121
330,1,330,true,330,643,1.9484848484848485
1,331,331,true,331,668,2.0181268882175227
331,1,331,true,331,644,1.945619335347432
1,332,332,true,332,669,2.0150602409638556
332,1,332,true,332,645,1.9427710843373494
1,333,333,true,333,670,2.012012012012012
333,1,333,true,333,646,1.93993993993994
1,334,334,true,334,671,2.0089820359281436
334,1,334,true,334,647,1.937125748502994
1,335,335,true,335,672,2.005970149253731
335,1,335,true,335,648,1.9343283582089552
1,336,336,true,336,673,2.0029761904761907
336,1,336,true,336,649,1.931547619047619
1,337,337,true,337,674,2.0
337,1,337,true,337,650,1.9287833827893175
1,338,338,true,338,675,1.9970414201183433
338,1,338,true,338,651,1.9260355029585798
1,339,339,true,339,676,1.9941002949852507
339,1,339,true,339,653,1.9262536873156342
1,340,340,true,340,680,2.0
340,1,340,true,340,677,1.9911764705882353
1,341,341,true,341,682,2.0
341,1,341,true,341,678,1.9882697947214076
1,342,342,true,342,683,1.9970760233918128
342,1,342,true,342,679,1.9853801169590644
1,343,343,true,343,684,1.9941690962099126
343,1,343,true,343,681,1.9854227405247813
